| wave    | ion | NIST | Instr| amplitude | Source |
| 8749.16 | ArI | 1    |   32 | 68.2759   | sim    |
| 8754.4  | ArI | 1    |   32 | 159.31    | sim    |
| 8759.91 | ArI | 1    |   32 | 227.586   | sim    |
| 8764.89 | ArI | 1    |   32 | 227.586   | sim    |
| 8775.14 | ArI | 1    |   32 | 227.586   | sim    |
| 8781    | ArI | 1    |   32 | 159.31    | sim    |
| 8786.16 | ArI | 1    |   32 | 227.586   | sim    |
| 8833.27 | ArI | 1    |   32 | 22.7586   | sim    |
| 8991.2  | ArI | 1    |   32 | 182.069   | sim    |
| 8993.46 | ArI | 1    |   32 | 159.31    | sim    |
| 9053.6  | ArI | 1    |   32 | 22.7586   | sim    |
| 9059.29 | ArI | 1    |   32 | 22.7586   | sim    |
| 9069.9  | ArI | 1    |   32 | 22.7586   | sim    |
| 9160.29 | ArI | 1    |   32 | 45.5172   | sim    |
| 9203.26 | ArI | 1    |   32 | 68.2759   | sim    |
| 9245.48 | ArI | 1    |   32 | 227.586   | sim    |
| 9256.06 | ArI | 1    |   32 | 182.069   | sim    |
| 9266    | ArI | 1    |   32 | 45.5172   | sim    |
| 9281.49 | ArI | 1    |   32 | 45.5172   | sim    |
| 9301.12 | ArI | 1    |   32 | 45.5172   | sim    |
| 9329.7  | ArI | 1    |   32 | 45.5172   | sim    |
| 9340.34 | ArI | 1    |   32 | 182.069   | sim    |
| 9345    | ArI | 1    |   32 | 22.7586   | sim    |
| 9422.1  | ArI | 1    |   32 | 68.2759   | sim    |
| 9428.48 | ArI | 1    |   32 | 45.5172   | sim    |
| 9434.2  | ArI | 1    |   32 | 204.828   | sim    |
| 9441.1  | ArI | 1    |   32 | 159.31    | sim    |
| 9445.5  | ArI | 1    |   32 | 113.793   | sim    |
| 9498.6  | ArI | 1    |   32 | 136.552   | sim    |
| 9528.8  | ArI | 1    |   32 | 159.31    | sim    |
| 9549.32 | ArI | 1    |   32 | 22.7586   | sim    |
| 9556.19 | ArI | 1    |   32 | 34.1379   | sim    |
| 9576.23 | ArI | 1    |   32 | 68.2759   | sim    |
| 9777.92 | ArI | 1    |   32 | 68.2759   | sim    |
| 9795.4  | ArI | 1    |   32 | 45.5172   | sim    |
| 9810.8  | ArI | 1    |   32 | 22.7586   | sim    |
| 9824.6  | ArI | 1    |   32 | 68.2759   | sim    |
| 9835.4  | ArI | 1    |   32 | 22.7586   | sim    |
| 9840.59 | ArI | 1    |   32 | 227.586   | sim    |
| 9971.72 | ArI | 1    |   32 | 227.586   | sim    |
| 9983.26 | ArI | 1    |   32 | 227.586   | sim    |
| 10001.2 | ArI | 1    |   32 | 204.828   | sim    |
| 10102.9 | ArI | 1    |   32 | 68.2759   | sim    |
| 10123.9 | ArI | 1    |   32 | 182.069   | sim    |
| 10131.5 | ArI | 1    |   32 | 159.31    | sim    |
| 10142.6 | ArI | 1    |   32 | 36413.8   | sim    |
| 10232.3 | ArI | 1    |   32 | 159.31    | sim    |
| 10237.9 | ArI | 1    |   32 | 182.069   | sim    |
| 10243   | ArI | 1    |   32 | 182.069   | sim    |
| 10323.5 | ArI | 1    |   32 | 11.3793   | sim    |
| 10335.4 | ArI | 1    |   32 | 227.586   | sim    |
| 10336.8 | ArI | 1    |   32 | 22.7586   | sim    |
| 10426   | ArI | 1    |   32 | 45.5172   | sim    |
| 10434.6 | ArI | 1    |   32 | 45.5172   | sim    |
| 10453.5 | ArI | 1    |   32 | 45.5172   | sim    |
| 10718.5 | ArI | 1    |   32 | 113.793   | sim    |
| 11024.5 | ArI | 1    |   32 | 113.793   | sim    |
| 11036.7 | ArI | 1    |   32 | 113.793   | sim    |
| 11180   | ArI | 1    |   32 | 227.586   | sim    |
| 11290.5 | ArI | 1    |   32 | 22758.6   | sim    |
| 11370.8 | ArI | 1    |   32 | 22.7586   | sim    |
| 11438.5 | ArI | 1    |   32 | 45.5172   | sim    |
| 11494.9 | ArI | 1    |   32 | 91.0345   | sim    |
| 11690   | ArI | 1    |   32 | 113.793   | sim    |
| 11771.3 | ArI | 1    |   32 | 136.552   | sim    |
| 11888.7 | ArI | 1    |   32 | 113.793   | sim    |
| 11893.9 | ArI | 1    |   32 | 113.793   | sim    |
| 11953.6 | ArI | 1    |   32 | 45.5172   | sim    |
| 11979.6 | ArI | 1    |   32 | 91.0345   | sim    |
| 12023   | ArI | 1    |   32 | 113.793   | sim    |
| 12074.9 | ArI | 1    |   32 | 136.552   | sim    |
| 12131.6 | ArI | 1    |   32 | 113.793   | sim    |
| 12163.4 | ArI | 1    |   32 | 68.2759   | sim    |
| 13213.8 | ArI | 1    |   32 | 9103.45   | sim    |
| 13430   | ArI | 1    |   32 | 9103.45   | sim    |
| 13472.3 | ArI | 1    |   32 | 2958.62   | sim    |
| 13509.6 | ArI | 1    |   32 | 4551.72   | sim    |
| 13574.5 | ArI | 1    |   32 | 4551.72   | sim    |
| 13677.1 | ArI | 1    |   32 | 6827.59   | sim    |
| 13954.3 | ArI | 1    |   32 | 4551.72   | sim    |
| 14065.9 | ArI | 1    |   32 | 6.82759   | sim    |
| 15187.1 | ArI | 1    |   32 | 11.3793   | sim    |
| 15299.6 | ArI | 1    |   32 | 13655.2   | sim    |
| 16886   | ArI | 1    |   32 | 6827.59   | sim    |
| 16924.9 | ArI | 1    |   32 | 36413.8   | sim    |
| 16938.2 | ArI | 1    |   32 | 91.0345   | sim    |
| 16946.7 | ArI | 1    |   32 | 1137.93   | sim    |
| 17015.1 | ArI | 1    |   32 | 9.10345   | sim    |
| 17077.4 | ArI | 1    |   32 | 1820.69   | sim    |
| 17114.5 | ArI | 1    |   32 | 1137.93   | sim    |
| 17121   | ArI | 1    |   32 | 227.586   | sim    |
| 17203   | ArI | 1    |   32 | 682.759   | sim    |
| 17210.7 | ArI | 1    |   32 | 113.793   | sim    |
| 17218   | ArI | 1    |   32 | 682.759   | sim    |
| 17333.7 | ArI | 1    |   32 | 3641.38   | sim    |
| 17440.8 | ArI | 1    |   32 | 1137.93   | sim    |
| 18135.4 | ArI | 1    |   32 | 2275.86   | sim    |
| 18545.1 | ArI | 1    |   32 | 13.6552   | sim    |
| 19705.6 | ArI | 1    |   32 | 1593.1    | sim    |
| 23259.4 | ArI | 1    |   32 | 682.759   | sim    |
| 23139.5 | ArI | 1    |   32 | 85.6653   | sim    |
| 23973.1 | ArI | 1    |   32 | 85.6653   | sim    |
| 2968.14 | HgI |    1 |    0 |      3000 | ldt_deveny_300_HgCdAr.fits |
| 3022.38 | HgI |    1 |    0 |      1200 | ldt_deveny_300_HgCdAr.fits |
| 3342.44 | HgI |    1 |    0 |       700 | ldt_deveny_300_HgCdAr.fits |
| 3651.19 | HgI |    1 |    6 |      7408 | lrisb_600_4000_PYPIT.json |
| 3664.32 | HgI |    1 |    2 |      1042 | lrisb_600_4000_PYPIT.json |
| 4047.70 | HgI |    1 |    6 |     12902 | lrisb_600_4000_PYPIT.json |
| 4078.98 | HgI |    1 |    6 |       884 | lrisb_600_4000_PYPIT.json |
| 4359.56 | HgI |    1 |    6 |     38125 | lrisb_600_4000_PYPIT.json |
| 5462.26 | HgI |    1 |   15 |     28377 | lrisb_600_4000_PYPIT.json |
| 5771.21 | HgI |    1 |    9 |      5510 | lrisr_600_7500_PYPIT.json |
| 5792.27 | HgI |    1 |    9 |      6029 | lrisr_600_7500_PYPIT.json |
|10142.5  | HgI |    1 |    9 |      6000 |        NIST               |
